ArtistKey,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mode,count
4771,Colin Firth,0.246,0.635,177627,0.459,0,0.259,-7.343,0.0244,96.056,0.433,66,1,1
4772,Colin Gordon-Farleigh,0.148,0.491,218305,0.384,0.00314,0.185,-10.085,0.0247,103.996,0.502,0,1,2
4773,Colin Hay,0.7484,0.576,272117.2,0.3594,0.096053326,0.12388,-12.6524,0.03808,112.1636,0.4052,49.2,1,10
4774,Colin Horsley,0.991,0.317,477513,0.06255,0.786,0.194,-19.823,0.041,124.578,0.3085,2,1,2
4775,Colin James,0.121,0.568,278173,0.877,0.000173,0.0874,-9.506,0.0339,137.311,0.585,39,1,2
4776,Colin Munroe,0.541,0.535,235921,0.696,0.00521,0.63,-7.181,0.0901,91.002,0.213,50,0,2
4777,Collections Of Colonies Of Bees,0.691,0.803,219375,0.431,0.000699,0.106,-10.817,0.0335,103.948,0.212,61,1,2
4778,Collective Soul,0.146278792,0.578625,235757.3333,0.6725,0.037353129,0.143458333,-8.480541667,0.039691667,118.5398333,0.593541667,44.08333333,1,48
4779,Colleen O'Connor,0.84675,0.43875,209319.75,0.349,0.001078633,0.20125,-11.5275,0.136375,118.023,0.4955,23.75,1,4
4780,College,0.744,0.706,267693,0.443,0.555,0.162,-8.422,0.0349,112.001,0.376,59,1,2
4781,College & Electric Youth,0.834,0.719,267860,0.431,0.739,0.145,-9.226,0.0357,112.004,0.378,54,1,2
4782,Collegium Instrumentale Brugense,0.988,0.109,256200,0.0414,0.114,0.106,-25.91,0.0482,82.111,0.0367,49,1,1
4783,Collie Buddz,0.08743125,0.644875,218519.3125,0.7633125,0.000159514,0.1919,-5.6418125,0.198125,117.8295,0.6889375,49.4375,0,16
4784,Collin Raye,0.541145946,0.629891892,213695.1081,0.518918919,7.96E-07,0.148432432,-8.274216216,0.036321622,122.3995946,0.505432432,36.86486486,1,37
4785,Collin Walcott,0.996,0.301,139000,0.00249,0.19,0.0641,-34.366,0.0636,68.434,0.793,39,1,2
4786,Colm Feore,0.705,0.348,219307,0.222,0,0.122,-12.379,0.0569,84.001,0.5,45,1,1
4787,Colm Wilkinson,0.900529412,0.326882353,227293.9412,0.159435294,0.027265695,0.241352941,-18.63817647,0.052805882,91.01258824,0.159682353,26.82352941,1,17
4788,Colmillo Norteño,0.581666667,0.683333333,173173.3333,0.799333333,4.73E-06,0.225666667,-4.577333333,0.066566667,151.5046667,0.961666667,54.33333333,1,6
4789,Cologne Radio Chorus,0.9574375,0.3343125,244170.75,0.2304125,0.068778951,0.47475,-15.8186875,0.0686375,101.056875,0.1739125,0,1,16
4790,Cologne Radio Symphony Orchestra,0.960388889,0.321277778,248537.7222,0.220144444,0.064586846,0.442722222,-15.93188889,0.065405556,98.38011111,0.163994444,0,1,18
4791,Colonel Abrams,0.0379,0.791,407067,0.835,0.242,0.0528,-8.669,0.0519,116.928,0.842,33,0,1
4792,Colonne Symphony Orchestra,0.963666667,0.184,460569,0.156933333,0.605666667,0.1529,-18.87766667,0.042066667,77.45966667,0.073666667,0,1,6
4793,Colony House,0.036666667,0.428666667,192675.6667,0.771,1.09E-06,0.107666667,-5.285333333,0.054066667,139.3343333,0.471333333,58.33333333,1,6
4794,Color Me Badd,0.1636,0.589333333,250526.3333,0.574333333,2.51E-05,0.10632,-8.474933333,0.0673,142.1528667,0.5052,49.66666667,1,15
4795,Colosseum,0.0211,0.401,264507,0.98,3.37E-05,0.152,-5.031,0.333,115.302,0.289,30,1,2
4796,Colt Ford,0.151553333,0.630060606,229733.6364,0.705757576,1.54E-06,0.157860606,-6.564969697,0.084006061,130.4691212,0.630242424,52.06060606,1,33
4797,Colter Wall,0.762166667,0.552,205029.5833,0.286833333,0.221099167,0.101533333,-13.2475,0.049383333,116.7884167,0.48025,59.41666667,0,12
4798,Colton Dixon,0.38123,0.5825,190152.5,0.5515,6.50E-05,0.1865,-7.3375,0.0362,87.1465,0.286,55,1,4
4799,Columbia Chamber Orchestra,0.935333333,0.370666667,477489,0.177666667,0.144866667,0.2129,-16.62433333,0.0415,115.3376667,0.3474,0,1,6
4800,Columbia Concert Orchestra,0.954756757,0.28672973,184311.6486,0.227118919,0.027472391,0.206972973,-14.57283784,0.040767568,95.78394595,0.249027027,0.027027027,1,74
4801,Columbia Jazz Combo,0.89675,0.5735,144256.75,0.187425,0.7405,0.1485,-18.178,0.0634,154.65075,0.57875,1,1,8
4802,Columbia Orchestra,0.8944,0.4074,412602.7,0.2308,0.30268,0.15212,-15.8337,0.04116,111.1151,0.5085,0,1,10
4803,Columbia Studio Orchestra,0.7805,0.318,194660,0.5935,0.058335,0.5065,-9.8025,0.1037,103.301,0.4015,13.5,1,2
4804,Columbia Symphony Orchestra,0.928884198,0.296958504,302861.2606,0.196688946,0.61043792,0.223066828,-19.94164777,0.045953438,104.9041086,0.215408685,3.97225573,1,829
4805,Columbia Wind Ensemble,0.8615,0.2815,359633.5,0.2655,0.00187056,0.2575,-15.563,0.14145,124.92,0.25715,0.5,1,2
4806,Com Truise,0.61,0.704,183609,0.45,0.778,0.193,-9.908,0.0748,85.053,0.507,47,1,2
4807,Coma Cinema,0.00849,0.375,109610,0.711,4.69E-05,0.102,-3.554,0.0399,106.902,0.377,46,1,2
4808,Combichrist,3.28E-06,0.492,285667,0.947,0.756,0.319,-5.97,0.0433,120.036,0.212,45,1,2
4809,Comeback Kid,0.000232,0.453,197227,0.957,1.87E-05,0.151,-4.025,0.0481,107.668,0.352,49,1,2
4810,Comethazine,0.07519,0.8401875,105799.25,0.604375,0.00067065,0.214825,-8.1676875,0.317125,141.283625,0.6005625,64.875,1,16
4811,Commander Cody and His Lost Planet Airmen,0.4317,0.559428571,210632.4286,0.551571429,0.003117704,0.406042857,-12.53814286,0.070614286,122.5844286,0.737857143,29,1,14
4812,Commissioned,0.384616667,0.557333333,292902.3333,0.429666667,0.16000597,0.1275,-13.39333333,0.0447,109.396,0.529333333,32.66666667,1,12
4813,Commodores,0.317516889,0.625311111,279832.3778,0.522731111,0.059429816,0.11514,-11.79622222,0.04772,119.5907111,0.57824,38.62222222,1,90
